2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021
7.8,285927,8.3,302784,8.9,322019,9.6,345492,10.2,363639,10.8,381771,11.3,401784,11.8,418043,12.5,442199,13.3,467416,14,492116,14.6,514630,15.3,536064,16.3,565527,17.1,589961,18.2,620123,19.4,657711,20.4,681885
